"seller_id","month_date","monthly_revenue","cumulative_revenue"
"0015a82c2db000af6aaaf3ae2ecb0532","2017-09-01","916.02","916.02"
"0015a82c2db000af6aaaf3ae2ecb0532","2017-10-01","1832.04","2748.06"
"001cca7ae9ae17fb1caed9dfb1094831","2017-02-01","1295.40","1295.40"
"001cca7ae9ae17fb1caed9dfb1094831","2017-03-01","2124.00","3419.40"
"001cca7ae9ae17fb1caed9dfb1094831","2017-04-01","2087.55","5506.95"
"001cca7ae9ae17fb1caed9dfb1094831","2017-05-01","3616.97","9123.92"
"001cca7ae9ae17fb1caed9dfb1094831","2017-06-01","2980.17","12104.09"
"001cca7ae9ae17fb1caed9dfb1094831","2017-07-01","3536.03","15640.12"
"001cca7ae9ae17fb1caed9dfb1094831","2017-08-01","1709.54","17349.66"
"001cca7ae9ae17fb1caed9dfb1094831","2017-09-01","2355.35","19705.01"
"001cca7ae9ae17fb1caed9dfb1094831","2017-10-01","3625.65","23330.66"
"001cca7ae9ae17fb1caed9dfb1094831","2017-11-01","3464.60","26795.26"
"001cca7ae9ae17fb1caed9dfb1094831","2017-12-01","1822.01","28617.27"
"001cca7ae9ae17fb1caed9dfb1094831","2018-01-01","1238.08","29855.35"
"001cca7ae9ae17fb1caed9dfb1094831","2018-02-01","450.34","30305.69"
"001cca7ae9ae17fb1caed9dfb1094831","2018-03-01","1550.93","31856.62"
"001cca7ae9ae17fb1caed9dfb1094831","2018-04-01","784.25","32640.87"
"001cca7ae9ae17fb1caed9dfb1094831","2018-06-01","335.99","32976.86"
"001cca7ae9ae17fb1caed9dfb1094831","2018-07-01","166.04","33142.90"
"002100f778ceb8431b7a1020ff7ab48f","2017-09-01","98.25","98.25"
"002100f778ceb8431b7a1020ff7ab48f","2017-10-01","367.30","465.55"
"002100f778ceb8431b7a1020ff7ab48f","2017-11-01","445.78","911.33"
"002100f778ceb8431b7a1020ff7ab48f","2017-12-01","464.00","1375.33"
"002100f778ceb8431b7a1020ff7ab48f","2018-01-01","129.91","1505.24"
"002100f778ceb8431b7a1020ff7ab48f","2018-02-01","247.31","1752.55"
