"product_a","product_b","combo_count"
"05b515fdc76e888aada3c6d66c201dff","270516a3f41dc035aa87d220228f844c","100"
"36f60d45225e60c7da4558b070ce4b60","e53e557d5a159f5aa2c5e995dfdf244b","48"
"62995b7e571f5760017991632bbfd311","ac1ad58efc1ebf66bfadc09f29bdedc0","36"
"710b7c26b7a742f497bba45fab91a25f","a9d9db064d4afd4458eb3e139fe29167","36"
"308e4e21ae228a10f6370a243ae59995","90b58782fdd04cb829667fcc41fb65f5","30"
"2ef36e1cae01b86d0ff0a2f50ff2bd53","53759a2ecddad2bb87a079a1f1519f73","30"
"35afc973633aaeb6b877ff57b2793310","99a4788cb24856965c36a24e339b6058","30"
"18486698933fbb64af6c0a255f7dd64c","dbb67791e405873b259e4656bf971246","26"
"58efb9b638561ce132216a9a612513e2","872db866d615db59612ac933f43d6b22","25"
"ad4b5def91ac7c575dbdf65b5be311f4","e6b314a2236c162ede1a879f1075430f","24"
