"category_name","month","avg_review_score","total_reviews"
"agro_industry_and_commerce","2017-01-01","4.33","3"
"agro_industry_and_commerce","2017-02-01","3.86","7"
"agro_industry_and_commerce","2017-03-01","2.00","2"
"agro_industry_and_commerce","2017-05-01","4.75","4"
"agro_industry_and_commerce","2017-06-01","1.00","1"
"agro_industry_and_commerce","2017-07-01","5.00","1"
"agro_industry_and_commerce","2017-08-01","5.00","4"
"agro_industry_and_commerce","2017-09-01","3.25","4"
"agro_industry_and_commerce","2017-10-01","4.20","5"
"agro_industry_and_commerce","2017-11-01","2.79","19"
"agro_industry_and_commerce","2017-12-01","4.64","11"
"agro_industry_and_commerce","2018-01-01","4.50","18"
"agro_industry_and_commerce","2018-02-01","4.31","26"
"agro_industry_and_commerce","2018-03-01","4.31","26"
"agro_industry_and_commerce","2018-04-01","4.00","11"
"agro_industry_and_commerce","2018-05-01","4.50","8"
"agro_industry_and_commerce","2018-06-01","4.20","10"
"agro_industry_and_commerce","2018-07-01","4.31","26"
"agro_industry_and_commerce","2018-08-01","3.78","18"
"air_conditioning","2016-10-01","4.50","8"
"air_conditioning","2017-01-01","3.50","4"
"air_conditioning","2017-02-01","2.90","10"
"air_conditioning","2017-03-01","4.41","17"
"air_conditioning","2017-04-01","4.71","14"
"air_conditioning","2017-05-01","4.71","7"
"air_conditioning","2017-06-01","4.09","11"
"air_conditioning","2017-07-01","3.40","5"
"air_conditioning","2017-08-01","4.62","13"
"air_conditioning","2017-09-01","4.43","7"
"air_conditioning","2017-10-01","3.92","12"
"air_conditioning","2017-11-01","3.94","18"
"air_conditioning","2017-12-01","4.33","3"
"air_conditioning","2018-01-01","3.93","27"
"air_conditioning","2018-02-01","4.33","12"
"air_conditioning","2018-03-01","3.71","24"
"air_conditioning","2018-04-01","4.63","19"
"air_conditioning","2018-05-01","4.29","14"
"air_conditioning","2018-06-01","2.73","15"
"air_conditioning","2018-07-01","4.25","16"
"air_conditioning","2018-08-01","3.81","21"
"art","2017-03-01","4.75","4"
"art","2017-04-01","4.00","1"
"art","2017-05-01","5.00","6"
"art","2017-06-01","5.00","3"
"art","2017-07-01","4.33","3"
"art","2017-08-01","4.25","4"
"art","2017-09-01","3.33","3"
"art","2017-10-01","4.67","3"
"art","2017-11-01","5.00","1"
"art","2017-12-01","5.00","3"
"art","2018-01-01","3.47","19"
"art","2018-02-01","3.92","12"
"art","2018-03-01","3.57","7"
"art","2018-04-01","4.48","23"
"art","2018-05-01","3.91","34"
"art","2018-06-01","4.29","28"
"art","2018-07-01","3.68","19"
"art","2018-08-01","4.11","18"
"arts_and_craftmanship","2017-05-01","5.00","1"
"arts_and_craftmanship","2017-07-01","5.00","1"
"arts_and_craftmanship","2018-05-01","4.00","1"
"arts_and_craftmanship","2018-07-01","3.64","11"
"arts_and_craftmanship","2018-08-01","4.56","9"
"audio","2016-10-01","5.00","2"
"audio","2017-02-01","3.40","5"
"audio","2017-03-01","3.86","14"
"audio","2017-04-01","3.55","11"
"audio","2017-05-01","4.18","17"
"audio","2017-06-01","3.91","11"
"audio","2017-07-01","4.00","5"
"audio","2017-08-01","3.86","7"
"audio","2017-09-01","4.10","10"
"audio","2017-10-01","3.60","30"
"audio","2017-11-01","3.56","36"
"audio","2017-12-01","4.18","17"
"audio","2018-01-01","4.12","26"
"audio","2018-02-01","3.27","15"
"audio","2018-03-01","2.94","34"
"audio","2018-04-01","4.04","28"
"audio","2018-05-01","3.76","21"
"audio","2018-06-01","4.22","18"
"audio","2018-07-01","4.38","21"
"audio","2018-08-01","4.23","26"
"auto","2016-10-01","3.63","8"
"auto","2017-01-01","3.74","31"
"auto","2017-02-01","4.37","82"
"auto","2017-03-01","4.36","78"
"auto","2017-04-01","3.94","82"
"auto","2017-05-01","4.06","111"
"auto","2017-06-01","4.00","108"
"auto","2017-07-01","4.17","112"
"auto","2017-08-01","4.32","141"
"auto","2017-09-01","4.09","106"
"auto","2017-10-01","4.06","150"
"auto","2017-11-01","3.97","259"
"auto","2017-12-01","3.99","255"
"auto","2018-01-01","4.06","265"
